poi_lat,poi_lon,category
6.1124485,80.1242871,transit
6.0536503,80.1909694,transit
6.1223145,80.1143858,transit
6.0606665,80.1793892,transit
6.0981764,80.1328946,transit
6.0539303,80.2048071,transit
6.09335,80.1401109,transit
6.0220651,80.2492172,transit
6.0248077,80.6007188,transit
6.0515944,80.6295154,transit
6.0476577,80.7344884,transit
6.0547935,80.2130442,transit
6.1724823,80.1781078,transit
5.9636625,80.4096817,transit
5.9651656,80.3914881,transit
5.9473799,80.556541,transit
6.1255312,81.1257755,transit
6.054187,80.1819705,transit
6.3780225,80.3613968,transit
6.0995623,80.4777065,transit
6.0817162,80.5666906,transit
6.3422812,80.560347,transit
5.9712914,80.3655365,transit
5.9566902,80.4734963,transit
5.9645346,80.4572358,transit
6.3152096,80.8657836,transit
6.028373,80.7944502,transit
6.0314784,80.7926199,transit
6.4332859,81.1310436,transit
6.1228576,81.0267194,transit
6.3004697,80.6352764,transit
6.2513201,80.7646383,transit
6.1541106,80.7684937,transit
6.0421661,80.7372524,transit
6.3062235,81.0027132,transit
6.0327454,80.2401656,transit
5.9705981,80.6607525,transit
6.4047941,80.2170423,transit
6.0666715,80.2246796,transit
6.0739289,80.1611425,transit
5.9794925,80.6973864,transit
6.4224624,80.8153925,transit
5.9606591,80.5990478,transit
6.0866023,80.4791209,transit
6.4240979,80.8171453,transit
5.9570646,80.5779236,transit
5.9941093,80.3072789,transit
6.2877258,80.1649976,transit
6.1421134,80.1000633,transit
6.140264,80.1000502,transit
6.2918608,80.1629711,transit
5.9639385,80.6940446,transit
6.0360736,80.3870309,transit
6.1062088,80.3486077,transit
5.973487,80.4295018,transit
5.9517619,80.5434,transit
5.9453867,80.5141884,transit
5.9434064,80.4957962,transit
5.9756259,80.4295677,transit
5.9732443,80.3638768,transit
6.0825058,80.6437025,transit
6.081685,80.5668228,transit
6.0974003,80.8760439,transit
6.3427152,80.2229035,transit
6.2607261,80.4912202,transit
5.985953,80.3316327,transit
5.9865072,80.3295036,transit
5.9864034,80.3301693,transit
5.9864544,80.3300423,transit
5.9863059,80.3304457,transit
5.9861534,80.3303882,transit
5.9862621,80.3301192,transit
5.9863081,80.3299784,transit
5.9860057,80.3300522,transit
5.9856714,80.3299229,transit
5.9938427,80.3079393,transit
5.9939594,80.3083783,transit
5.9825774,80.340424,transit
6.3666,80.1466939,transit
6.0329742,80.2157428,transit
6.0345812,80.2141068,transit
6.3321117,80.8568162,transit
5.9984751,80.2801328,transit
5.9430833,80.5486428,transit
6.0024113,80.6724355,transit
5.9439938,80.5493628,transit
6.0471249,80.2121695,schools
6.0494692,80.2151194,schools
6.0562827,80.2043969,schools
6.0365987,80.2110256,schools
6.0361207,80.2121328,schools
6.0802882,80.1926041,schools
6.0576123,80.2013754,schools
6.0354036,80.2120989,schools
5.9714561,80.4221419,schools
6.0254725,80.2182872,schools
5.9487113,80.5438335,schools
5.9524024,80.5229667,schools
6.027654,80.2160328,schools
6.2206402,80.212891,schools
5.9431248,80.5529672,schools
5.9452323,80.5661138,schools
5.9478586,80.582445,schools
6.0247398,80.6015109,schools
5.9532969,80.550447,schools
5.9579388,80.6477093,schools
5.9488204,80.6278073,schools
6.1266246,81.1249494,schools
6.1278447,81.1234333,schools
6.1269873,81.1206954,schools
6.1173491,81.0223763,schools
6.1212695,81.0086917,schools
6.1118285,80.9311115,schools
5.9636269,80.5840252,schools
6.1489834,80.6974213,schools
6.2381742,80.6752663,schools
6.2927005,80.1649066,schools
6.2998587,80.1564788,schools
6.0624714,80.1767617,schools
6.041144,80.2003651,schools
6.1217869,80.5895643,schools
6.1857996,80.6840049,schools
6.1495888,80.6978286,schools
6.3769807,80.3584599,schools
6.2688947,80.4964917,schools
6.3411842,80.5610761,schools
6.3426838,80.5613046,schools
6.3458396,80.5571144,schools
6.3787453,80.3052824,schools
6.2076225,80.3374474,schools
6.0352586,80.3823841,schools
5.9480879,80.4568936,schools
6.035113,80.2167116,schools
6.0489375,80.4486463,schools
6.1606682,81.1348547,schools
6.0224566,80.2613797,schools
6.0162244,80.2773994,schools
6.0089335,80.342188,schools
6.3848694,80.3774514,schools
6.3705571,80.3986594,schools
6.3282292,80.2461815,schools
6.2829315,80.2650691,schools
6.3451865,80.1783242,schools
6.3136866,80.3728182,schools
5.9832793,80.6847509,schools
6.0108659,80.6828887,schools
6.0256344,80.6876501,schools
6.0021298,80.4060846,schools
6.0094347,80.5181894,schools
6.1592854,80.9362917,schools
6.1944139,80.8950743,schools
6.2203736,80.8745398,schools
5.9736123,80.3610227,schools
5.9691954,80.3711481,schools
5.9521262,80.5324283,schools
5.9529959,80.5325678,schools
5.956427,80.5540886,schools
5.953255,80.5485912,schools
6.0216517,80.4909932,schools
5.9811566,80.4509266,schools
6.1729638,80.17711,schools
6.1761136,80.1802074,schools
5.9544204,80.537106,schools
6.0475249,80.6780888,schools
5.9535846,80.5443341,schools
6.0779813,80.2744712,schools
5.935012,80.5810141,schools
5.9752616,80.3696452,schools
6.0023945,80.3098982,schools
6.0392035,80.304581,schools
6.0367362,80.294554,schools
6.0346679,80.3151505,schools
6.4155638,80.7928451,schools
6.4220172,80.8149028,schools
6.2371436,80.1553712,schools
6.2264759,80.1863642,schools
6.2195448,80.199009,schools
6.02539,80.7933692,schools
6.0233159,80.7918447,schools
6.0177325,80.7777203,schools
6.0297442,80.7950354,schools
6.0318277,80.7833459,schools
6.0335986,80.7734789,schools
6.3100791,80.145408,schools
6.1153325,80.1200634,schools
6.1415288,80.1133655,schools
5.9456464,80.5293636,schools
5.9498703,80.5182723,schools
5.9497055,80.5181874,schools
6.0177595,80.3780331,schools
6.1986244,80.4675091,schools
6.2122394,80.107557,schools
5.9430569,80.5522415,schools
6.098179,80.8766172,schools
6.1387625,80.1124368,schools
5.9819953,80.4955612,schools
5.9861167,80.5212696,schools
6.2916888,80.6351356,schools
6.2530184,80.7647572,schools
6.192566,80.6462062,schools
6.1088974,80.9781893,schools
6.2382497,81.16579,schools
6.0666309,80.8368113,schools
6.277554,80.959271,schools
6.3076982,80.9977705,schools
6.1558153,80.9745414,schools
6.2275813,80.8260271,schools
6.2000933,80.8210995,schools
6.1424728,80.8118445,schools
6.046696,80.7359502,schools
6.0533982,80.7332356,schools
6.1800608,80.7661124,schools
6.2047236,80.7652195,schools
6.167255,80.7645565,schools
6.2625611,80.7619697,schools
6.2168558,80.7399138,schools
6.1956379,80.7297319,schools
6.1673177,80.7462558,schools
6.1531779,80.6725914,schools
6.2183555,80.6364112,schools
6.24103,80.6593794,schools
6.2686118,80.7268874,schools
6.0732899,80.7040629,schools
6.0727137,80.7048242,schools
6.0420728,80.696845,schools
5.9852971,80.7255938,schools
6.4812393,80.7081622,schools
6.0865217,80.2421636,schools
6.1273633,80.4249129,schools
6.1477497,80.4191297,schools
6.2780512,80.4572139,schools
6.3136974,80.4028435,schools
6.2605129,80.6044644,schools
6.2707471,80.4980535,schools
6.0378996,80.2300911,schools
6.39735,80.2127255,schools
6.4414042,80.4211975,schools
6.1416376,80.1019365,schools
6.2120997,80.1075058,schools
5.9983577,80.5563126,schools
6.0201828,80.5603767,schools
6.0382514,80.560233,schools
6.0486909,80.5613997,schools
6.1083338,80.5625683,schools
6.1266795,80.5558424,schools
6.1567386,80.5755598,schools
6.1960948,80.582268,schools
6.2039717,80.5935868,schools
6.2433502,80.6090213,schools
6.2561318,80.6046682,schools
6.0197197,80.7182173,schools
6.448947,80.5118922,schools
6.424193,80.517844,schools
6.4541375,80.4339606,schools
6.4354284,80.1132818,schools
6.4362936,80.112811,schools
5.9492001,80.5838299,schools
5.9486163,80.5832967,schools
5.9591007,80.5983128,schools
5.9450409,80.5995956,schools
6.112234,80.9313321,schools
6.4231375,80.6529388,schools
6.0775044,80.1658585,schools
5.9482992,80.4621344,schools
5.9347655,80.6068466,schools
6.044109,80.626793,schools
5.9391937,80.4771198,schools
6.1552914,80.6030363,schools
5.9524398,80.5354556,schools
5.9724592,80.4328071,schools
5.9743287,80.4368598,schools
6.2422709,80.2541754,schools
6.310869,80.2425313,schools
6.2988828,80.3180972,schools
6.3663013,80.2159915,schools
6.238274,80.3315565,schools
6.2623571,80.3243776,schools
6.266755,80.4134725,schools
6.3070434,80.3598444,schools
6.3723117,80.3104556,schools
6.3548355,80.3167614,schools
6.2521128,80.3236839,schools
6.3102399,80.3174092,schools
5.943437,80.494334,schools
5.9856689,80.7307655,schools
6.2957516,80.226379,schools
6.2794352,80.2271569,schools
6.2956148,80.5421483,schools
6.3214728,80.2185188,schools
6.3036416,80.2056697,schools
6.0811988,80.5677326,schools
6.0565577,80.1779605,schools
6.407547,80.108115,schools
6.487127,80.1262759,schools
6.0213363,80.5951244,schools
6.0889026,80.4761208,schools
6.2789901,80.7636596,schools
6.100703,80.5126297,schools
