poi_lat,poi_lon,category
6.9314456,79.8460198,transit
6.9755509,79.8993572,transit
7.0551005,79.9372147,transit
6.8412668,80.0020131,transit
6.937547,79.8790153,transit
6.8417931,80.0907678,transit
6.9133542,79.8845224,transit
6.8830467,79.8828978,transit
6.8528888,79.9178611,transit
6.8969122,79.8780613,transit
6.9406031,80.1372925,transit
6.9013533,80.1276619,transit
6.8622118,79.9087271,transit
6.8427474,80.0911536,transit
6.926363,79.8785882,transit
7.0655794,79.9454477,transit
6.8505585,79.8719,transit
6.8433607,79.9239225,transit
6.8456146,79.926205,transit
6.8481858,79.9256137,transit
6.8330085,79.8672728,transit
6.8440393,80.046063,transit
7.0662794,79.9611268,transit
6.9241865,79.9270076,transit
6.8693009,80.1173053,transit
6.9360244,79.9165498,transit
6.9067802,79.9261129,transit
6.9358787,79.8885393,transit
6.8647897,79.9111586,transit
6.8445612,79.9258732,transit
6.845243,79.9260878,transit
6.8444728,79.9260121,transit
6.9370601,79.8964948,transit
6.9763026,80.1206628,transit
7.0324394,80.0282845,transit
7.0345428,79.9906539,transit
6.9610592,79.8944725,transit
6.8529835,80.1094043,transit
6.8771479,80.1231952,transit
6.8383604,80.0797169,transit
6.8832238,80.123948,transit
6.864956,79.9022473,transit
6.8658302,79.9282654,transit
6.8478462,79.9274916,transit
6.8574282,79.9089976,transit
6.9555309,79.8852167,transit
6.9287793,79.9274552,transit
6.9582607,80.0164201,transit
6.9517698,79.9173689,transit
7.042678,80.1300346,transit
6.8726803,79.8919657,transit
7.0282985,79.9201792,transit
6.8939771,79.8529609,transit
6.9531538,79.9190684,transit
7.0294102,79.9216788,transit
7.0747267,79.9739,transit
7.0299493,79.921428,transit
7.0165896,79.918322,transit
7.0004396,79.9068341,transit
6.9877406,79.9004906,transit
7.0920985,79.992772,transit
7.0929503,79.8909487,transit
7.0777904,79.8921517,transit
7.0629149,79.896002,transit
7.04929,79.9015367,transit
7.0381323,79.9122199,transit
6.9292373,79.865796,transit
6.8956629,79.8558978,transit
6.8644621,79.8597492,transit
6.8654953,79.8594408,transit
6.987159,79.9758097,transit
6.9230404,79.8496524,transit
6.9794769,79.8757799,transit
6.8743137,79.8916136,transit
6.8788373,79.8998505,transit
6.893674,79.8529894,transit
6.9113228,79.8481929,transit
6.9337144,80.1880442,transit
6.8479029,80.0328649,transit
6.8020833,79.9250648,transit
6.8509082,79.8621137,transit
6.8431734,80.0598726,transit
6.846941,80.0190057,transit
6.8456046,80.0042414,transit
6.8457616,79.992439,transit
6.8440838,79.9750754,transit
6.8473816,79.9488784,transit
6.8480166,79.9271848,transit
7.0052104,79.9544555,transit
6.8407693,79.9756799,transit
6.8509062,79.8623123,transit
6.9892639,79.8930629,transit
6.9180501,80.1348044,transit
6.9333986,79.8503417,transit
6.9336106,79.8553172,transit
7.0837708,80.0231046,transit
6.9337266,79.8500802,transit
7.0295062,79.9214306,transit
7.0003699,79.9068454,transit
6.9033609,79.9552056,transit
6.9112897,79.8481563,transit
7.0052211,79.9546749,transit
7.0684269,79.960676,transit
6.9361767,79.9832729,transit
6.8437324,79.9682677,transit
6.9039188,79.9544274,transit
6.8261733,79.8686977,transit
6.9296918,79.8655137,transit
6.9223107,79.9141842,transit
6.865673,79.927769,transit
6.9350157,79.8546265,transit
7.0935324,79.9934986,transit
