Outlet_ID,Trade_Spend_Allocation_LKR
OUT_00001,10000
OUT_00002,2000
OUT_00003,5000
OUT_00004,2000
OUT_00005,10000
OUT_00006,5000
OUT_00007,10000
OUT_00008,10000
OUT_00009,5000
OUT_00010,5000
OUT_00011,10000
OUT_00012,2000
OUT_00013,0
OUT_00014,0
OUT_00015,2000
OUT_00016,5000
OUT_00017,5000
OUT_00018,0
OUT_00019,10000
OUT_00020,5000
OUT_00021,2000
OUT_00022,2000
OUT_00023,2000
OUT_00024,10000
OUT_00026,5000
OUT_00027,2000
OUT_00028,5000
OUT_00029,0
OUT_00031,2000
OUT_00032,10000
OUT_00033,5000
OUT_00034,5000
OUT_00035,10000
OUT_00036,2000
OUT_00037,5000
OUT_00038,10000
OUT_00039,10000
OUT_00040,10000
OUT_00041,5000
OUT_00042,5000
OUT_00043,0
OUT_00044,5000
OUT_00045,10000
OUT_00046,0
OUT_00047,2000
OUT_00048,0
OUT_00049,5000
OUT_00050,10000
OUT_00051,5000
OUT_00052,5000
OUT_00053,5000
OUT_00054,5000
OUT_00055,5000
OUT_00056,2000
OUT_00057,2000
OUT_00058,10000
OUT_00059,2000
OUT_00060,2000
OUT_00061,0
OUT_00062,5000
OUT_00063,0
OUT_00064,2000
OUT_00065,0
OUT_00066,0
OUT_00067,2000
OUT_00068,2000
OUT_00069,2000
OUT_00070,2000
OUT_00072,2000
OUT_00074,2000
OUT_00075,0
OUT_00076,2000
OUT_00077,2000
OUT_00078,5000
OUT_00079,10000
OUT_00080,2000
OUT_00081,0
OUT_00082,2000
OUT_00083,0
OUT_00084,0
OUT_00085,2000
OUT_00086,2000
OUT_00087,10000
OUT_00088,2000
OUT_00089,0
OUT_00091,0
OUT_00092,0
OUT_00093,0
OUT_00094,2000
OUT_00095,0
OUT_00096,2000
OUT_00097,2000
OUT_00098,0
OUT_00099,0
OUT_00100,2000
OUT_00101,10000
OUT_00102,0
OUT_00103,0
OUT_00104,2000
OUT_00105,0
OUT_00106,0
OUT_00107,0
OUT_00108,5000
OUT_00109,2000
OUT_00110,2000
OUT_00111,0
OUT_00112,2000
OUT_00113,0
OUT_00114,0
OUT_00115,2000
OUT_00116,0
OUT_00117,2000
OUT_00118,2000
OUT_00119,0
OUT_00120,2000
OUT_00121,2000
OUT_00122,2000
OUT_00123,0
OUT_00124,0
OUT_00125,2000
OUT_00126,0
OUT_00127,2000
OUT_00128,2000
OUT_00129,2000
OUT_00130,0
OUT_00131,2000
OUT_00132,2000
OUT_00133,0
OUT_00134,10000
OUT_00135,0
OUT_00136,2000
OUT_00137,2000
OUT_00138,0
OUT_00139,0
OUT_00140,0
OUT_00141,0
OUT_00142,0
OUT_00144,0
OUT_00145,2000
OUT_00146,2000
OUT_00147,2000
OUT_00148,0
OUT_00149,0
OUT_00150,0
OUT_00151,0
OUT_00152,0
OUT_00153,2000
OUT_00154,0
OUT_00155,0
OUT_00156,2000
OUT_00157,0
OUT_00158,0
OUT_00159,0
OUT_00160,0
OUT_00161,0
OUT_00162,0
OUT_00163,0
OUT_00164,0
OUT_00165,2000
OUT_00166,0
OUT_00167,2000
OUT_00168,2000
OUT_00169,2000
OUT_00170,0
OUT_00172,15000
OUT_00173,5000
OUT_00174,2000
OUT_00175,0
OUT_00176,2000
OUT_00177,0
OUT_00178,2000
OUT_00179,2000
OUT_00180,0
OUT_00181,5000
OUT_00182,2000
OUT_00183,0
OUT_00185,0
OUT_00186,0
OUT_00187,0
OUT_00188,0
OUT_00189,2000
OUT_00190,0
OUT_00191,2000
OUT_00192,2000
OUT_00193,0
OUT_00194,2000
OUT_00195,2000
OUT_00196,0
OUT_00197,0
OUT_00198,0
OUT_00199,0
OUT_00200,2000
OUT_00201,0
OUT_00202,2000
OUT_00203,0
OUT_00204,0
OUT_00205,2000
OUT_00206,0
OUT_00207,0
OUT_00208,2000
OUT_00209,2000
OUT_00210,2000
OUT_00211,0
OUT_00212,2000
OUT_00213,2000
OUT_00214,10000
OUT_00215,0
OUT_00216,0
OUT_00217,2000
OUT_00218,0
OUT_00219,2000
OUT_00220,2000
OUT_00221,0
OUT_00222,0
OUT_00223,0
OUT_00224,0
OUT_00225,2000
OUT_00226,0
OUT_00227,0
OUT_00228,0
OUT_00229,0
OUT_00230,0
OUT_00231,2000
OUT_00232,2000
OUT_00233,0
OUT_00234,0
OUT_00235,0
OUT_00236,0
OUT_00237,2000
OUT_00238,0
OUT_00239,0
OUT_00240,2000
OUT_00241,2000
OUT_00242,2000
OUT_00243,0
OUT_00244,0
OUT_00245,0
OUT_00246,10000
OUT_00247,5000
OUT_00248,0
OUT_00249,2000
OUT_00250,10000
OUT_00251,2000
OUT_00253,0
OUT_00254,2000
OUT_00255,0
OUT_00256,0
OUT_00257,5000
OUT_00258,10000
OUT_00259,0
OUT_00260,0
OUT_00261,2000
OUT_00262,0
OUT_00263,2000
OUT_00264,2000
OUT_00265,2000
OUT_00266,0
OUT_00267,0
OUT_00268,0
OUT_00269,0
OUT_00270,2000
OUT_00271,0
OUT_00272,0
OUT_00273,0
OUT_00274,0
OUT_00275,2000
OUT_00276,0
OUT_00277,2000
OUT_00278,2000
OUT_00279,5000
OUT_00280,0
OUT_00281,0
OUT_00282,2000
OUT_00283,0
OUT_00284,2000
OUT_00285,0
OUT_00286,2000
OUT_00287,2000
OUT_00288,0
OUT_00289,0
OUT_00290,0
OUT_00291,10000
OUT_00292,0
OUT_00293,0
OUT_00294,0
OUT_00295,0
OUT_00296,2000
OUT_00297,0
OUT_00298,0
OUT_00299,2000
OUT_00300,0
OUT_00301,2000
OUT_00302,2000
OUT_00303,2000
OUT_00304,0
OUT_00305,0
OUT_00306,0
OUT_00307,2000
OUT_00308,2000
OUT_00309,2000
OUT_00310,0
OUT_00311,0
OUT_00312,2000
OUT_00313,0
OUT_00314,0
OUT_00315,0
OUT_00316,0
OUT_00317,2000
OUT_00318,2000
OUT_00319,2000
OUT_00320,0
OUT_00321,2000
OUT_00322,2000
OUT_00323,2000
OUT_00324,0
OUT_00325,2000
OUT_00326,2000
OUT_00327,2000
OUT_00328,0
OUT_00329,2000
OUT_00330,0
OUT_00331,2000
OUT_00332,0
OUT_00333,2000
OUT_00334,2000
OUT_00335,0
OUT_00336,0
OUT_00337,0
OUT_00338,2000
OUT_00339,5000
OUT_00340,2000
OUT_00341,2000
OUT_00342,2000
OUT_00343,2000
OUT_00344,0
OUT_00345,2000
OUT_00346,2000
OUT_00347,2000
OUT_00348,0
OUT_00349,0
OUT_00350,10000
OUT_00351,0
OUT_00352,0
OUT_00353,2000
OUT_00354,0
OUT_00355,0
OUT_00356,0
OUT_00357,0
OUT_00358,0
OUT_00359,2000
OUT_00360,0
OUT_00361,5000
OUT_00362,0
OUT_00363,0
OUT_00364,0
OUT_00365,0
OUT_00366,0
OUT_00367,5000
OUT_00368,0
OUT_00369,0
OUT_00370,0
OUT_00371,0
OUT_00372,2000
OUT_00373,2000
OUT_00374,2000
OUT_00375,0
OUT_00376,2000
OUT_00377,2000
OUT_00378,2000
OUT_00379,2000
OUT_00380,0
OUT_00381,0
OUT_00382,0
OUT_00383,0
OUT_00384,2000
OUT_00385,2000
OUT_00386,2000
OUT_00387,5000
OUT_00388,2000
OUT_00389,2000
OUT_00390,0
OUT_00391,0
OUT_00392,0
OUT_00393,2000
OUT_00394,0
OUT_00395,0
OUT_00396,0
OUT_00397,0
OUT_00398,0
OUT_00399,2000
OUT_00400,0
OUT_00401,0
OUT_00402,2000
OUT_00403,0
OUT_00404,0
OUT_00405,0
OUT_00406,0
OUT_00407,0
OUT_00408,0
OUT_00409,0
OUT_00410,0
OUT_00411,0
OUT_00412,0
OUT_00413,2000
OUT_00414,0
OUT_00415,0
OUT_00416,0
OUT_00417,2000
OUT_00418,0
OUT_00419,0
OUT_00420,0
OUT_00421,2000
OUT_00422,0
OUT_00423,2000
OUT_00424,2000
OUT_00425,0
OUT_00426,0
OUT_00427,0
OUT_00428,5000
OUT_00429,0
OUT_00430,0
OUT_00431,0
OUT_00432,2000
OUT_00433,0
OUT_00434,5000
OUT_00435,0
OUT_00436,0
OUT_00437,0
OUT_00438,0
OUT_00439,0
OUT_00440,0
OUT_00441,0
OUT_00442,0
OUT_00443,0
OUT_00444,0
OUT_00445,0
OUT_00446,0
OUT_00447,0
OUT_00448,0
OUT_00449,5000
OUT_00450,0
OUT_00451,0
OUT_00452,2000
OUT_00453,0
OUT_00454,0
OUT_00455,2000
OUT_00456,0
OUT_00458,0
OUT_00459,0
OUT_00460,0
OUT_00461,0
OUT_00462,0
OUT_00463,2000
OUT_00464,0
OUT_00465,0
OUT_00466,2000
OUT_00467,0
OUT_00468,2000
OUT_00469,0
OUT_00470,0
OUT_00471,0
OUT_00472,0
OUT_00473,0
OUT_00474,0
OUT_00475,0
OUT_00476,0
OUT_00477,0
OUT_00478,0
OUT_00479,0
OUT_00480,0
OUT_00481,0
OUT_00482,0
OUT_00483,0
OUT_00484,0
OUT_00485,0
OUT_00486,0
OUT_00487,0
OUT_00488,0
OUT_00489,0
OUT_00490,0
OUT_00491,0
OUT_00492,2000
OUT_00493,0
OUT_00494,0
OUT_00495,0
OUT_00496,0
OUT_00497,0
OUT_00498,0
OUT_00499,0
OUT_00500,0
OUT_00501,0
OUT_00502,0
OUT_00503,2000
OUT_00504,0
OUT_00505,0
OUT_00506,2000
OUT_00507,2000
OUT_00508,0
OUT_00509,0
OUT_00510,0
OUT_00513,0
OUT_00514,0
OUT_00515,2000
OUT_00516,0
OUT_00517,0
OUT_00518,0
OUT_00519,0
OUT_00520,0
OUT_00521,0
OUT_00522,0
OUT_00523,0
OUT_00524,0
OUT_00525,0
OUT_00526,0
OUT_00527,0
OUT_00528,0
OUT_00529,0
OUT_00530,2000
OUT_00531,0
OUT_00532,0
OUT_00533,0
OUT_00534,2000
OUT_00536,0
OUT_00537,0
OUT_00538,0
OUT_00539,0
OUT_00540,0
OUT_00541,0
OUT_00542,0
OUT_00543,0
OUT_00544,0
OUT_00545,0
OUT_00546,0
OUT_00547,0
OUT_00548,0
OUT_00549,0
OUT_00550,0
OUT_00551,2000
OUT_00552,0
OUT_00553,0
OUT_00554,0
OUT_00555,0
OUT_00556,0
OUT_00557,0
OUT_00558,0
OUT_00559,0
OUT_00560,0
OUT_00562,0
OUT_00563,0
OUT_00564,0
OUT_00565,0
OUT_00566,0
OUT_00567,2000
OUT_00568,5000
OUT_00569,0
OUT_00570,2000
OUT_00572,0
OUT_00573,2000
OUT_00574,0
OUT_00575,0
OUT_00576,0
OUT_00577,2000
OUT_00578,0
OUT_00579,5000
OUT_00580,2000
OUT_00581,0
OUT_00583,0
OUT_00584,0
OUT_00585,0
OUT_00586,0
OUT_00587,0
OUT_00588,0
OUT_00589,2000
OUT_00590,0
OUT_00591,2000
OUT_00592,0
OUT_00593,0
OUT_00594,0
OUT_00595,0
OUT_00596,0
OUT_00597,0
OUT_00598,0
OUT_00599,0
OUT_00601,0
OUT_00602,0
OUT_00603,2000
OUT_00604,0
OUT_00605,0
OUT_00606,2000
OUT_00607,2000
OUT_00608,0
OUT_00609,0
OUT_00610,2000
OUT_00611,0
OUT_00612,0
OUT_00613,2000
OUT_00614,2000
OUT_00615,0
OUT_00616,0
OUT_00617,0
OUT_00618,0
OUT_00619,10000
OUT_00620,0
OUT_00621,0
OUT_00622,0
OUT_00623,0
OUT_00624,0
OUT_00625,0
OUT_00626,0
OUT_00627,0
OUT_00628,0
OUT_00629,0
OUT_00630,0
OUT_00631,0
OUT_00632,0
OUT_00633,2000
OUT_00634,0
OUT_00635,0
OUT_00636,0
OUT_00637,0
OUT_00638,0
OUT_00639,2000
OUT_00640,0
OUT_00641,0
OUT_00642,0
OUT_00643,0
OUT_00644,0
OUT_00645,0
OUT_00646,2000
OUT_00647,0
OUT_00648,0
OUT_00649,2000
OUT_00650,0
OUT_00651,0
OUT_00652,0
OUT_00653,0
OUT_00654,0
OUT_00655,0
OUT_00656,0
OUT_00657,0
OUT_00658,0
OUT_00659,0
OUT_00660,2000
OUT_00661,0
OUT_00662,0
OUT_00663,0
OUT_00664,0
OUT_00665,0
OUT_00666,2000
OUT_00667,0
OUT_00668,0
OUT_00669,0
OUT_00670,0
OUT_00671,0
OUT_00672,0
OUT_00673,0
OUT_00674,2000
OUT_00675,0
OUT_00676,0
OUT_00677,0
OUT_00679,0
OUT_00680,0
OUT_00681,0
OUT_00682,0
OUT_00683,0
OUT_00684,5000
OUT_00685,0
OUT_00686,2000
OUT_00687,2000
OUT_00688,0
OUT_00689,5000
OUT_00690,0
OUT_00691,5000
OUT_00692,0
OUT_00693,0
OUT_00694,2000
OUT_00695,0
OUT_00696,0
OUT_00697,0
OUT_00698,0
OUT_00699,2000
OUT_00700,0
OUT_00701,0
OUT_00702,0
OUT_00703,0
OUT_00704,0
OUT_00705,0
OUT_00706,0
OUT_00707,0
OUT_00708,0
OUT_00709,0
OUT_00710,0
OUT_00711,0
OUT_00712,0
OUT_00713,0
OUT_00714,0
OUT_00715,0
OUT_00716,0
OUT_00717,0
OUT_00718,0
OUT_00719,0
OUT_00720,2000
OUT_00721,0
OUT_00722,0
OUT_00723,0
OUT_00724,0
OUT_00725,0
OUT_00726,2000
OUT_00727,0
OUT_00728,2000
OUT_00729,0
OUT_00730,0
OUT_00731,2000
OUT_00732,0
OUT_00733,0
OUT_00734,2000
OUT_00735,0
OUT_00736,0
OUT_00737,2000
OUT_00738,0
OUT_00739,0
OUT_00740,0
OUT_00741,0
OUT_00742,5000
OUT_00744,0
OUT_00745,0
OUT_00746,2000
OUT_00747,0
OUT_00748,0
OUT_00749,0
OUT_00750,0
OUT_00751,0
OUT_00752,0
OUT_00753,2000
OUT_00754,0
OUT_00755,2000
OUT_00756,0
OUT_00757,0
OUT_00758,0
OUT_00759,0
OUT_00760,0
OUT_00761,0
OUT_00762,0
OUT_00763,2000
OUT_00764,0
OUT_00765,0
OUT_00766,0
OUT_00767,0
OUT_00768,0
OUT_00769,0
OUT_00770,0
OUT_00771,0
OUT_00772,0
OUT_00773,0
OUT_00774,0
OUT_00775,0
OUT_00776,0
OUT_00777,0
OUT_00778,5000
OUT_00779,0
OUT_00780,0
OUT_00781,0
OUT_00782,0
OUT_00783,0
OUT_00784,0
OUT_00785,0
OUT_00786,0
OUT_00787,0
OUT_00788,0
OUT_00789,2000
OUT_00790,0
OUT_00791,2000
OUT_00792,0
OUT_00794,0
OUT_00795,2000
OUT_00796,0
OUT_00797,0
OUT_00798,0
OUT_00799,2000
OUT_00800,2000
OUT_00801,0
OUT_00802,0
OUT_00803,0
OUT_00804,0
OUT_00805,0
OUT_00806,0
OUT_00807,0
OUT_00808,0
OUT_00809,0
OUT_00810,0
OUT_00811,0
OUT_00812,0
OUT_00813,0
OUT_00814,0
OUT_00815,10000
OUT_00816,0
OUT_00817,0
OUT_00818,0
OUT_00819,0
OUT_00820,0
OUT_00821,0
OUT_00822,0
OUT_00823,2000
OUT_00824,0
OUT_00825,0
OUT_00826,0
OUT_00827,0
OUT_00828,2000
OUT_00829,0
OUT_00830,0
OUT_00831,0
OUT_00832,0
OUT_00833,0
OUT_00834,0
OUT_00835,0
OUT_00836,0
OUT_00837,2000
OUT_00838,0
OUT_00839,0
OUT_00840,5000
OUT_00841,0
OUT_00842,0
OUT_00844,0
OUT_00845,0
OUT_00846,0
OUT_00847,0
OUT_00848,0
OUT_00849,0
OUT_00850,0
OUT_00851,0
OUT_00852,0
OUT_00853,5000
OUT_00854,0
OUT_00855,0
OUT_00856,2000
OUT_00857,2000
OUT_00858,0
OUT_00859,0
OUT_00860,0
OUT_00861,0
OUT_00862,0
OUT_00863,0
OUT_00864,0
OUT_00865,0
OUT_00866,0
OUT_00867,0
OUT_00868,0
OUT_00869,2000
OUT_00870,0
OUT_00871,2000
OUT_00872,0
OUT_00873,2000
OUT_00874,0
OUT_00875,0
OUT_00876,0
OUT_00877,2000
OUT_00878,0
OUT_00879,0
OUT_00880,0
OUT_00881,2000
OUT_00882,0
OUT_00883,0
OUT_00884,0
OUT_00885,0
OUT_00886,5000
OUT_00887,0
OUT_00888,0
OUT_00889,0
OUT_00890,0
OUT_00891,0
OUT_00892,2000
OUT_00893,0
OUT_00894,0
OUT_00895,0
OUT_00896,0
OUT_00897,0
OUT_00898,0
OUT_00899,2000
OUT_00900,0
OUT_00901,0
OUT_00902,0
OUT_00903,2000
OUT_00904,0
OUT_00905,0
OUT_00906,2000
OUT_00907,0
OUT_00908,0
OUT_00909,0
OUT_00910,0
OUT_00911,0
OUT_00912,2000
OUT_00913,0
OUT_00914,0
OUT_00915,0
OUT_00916,0
OUT_00917,0
OUT_00918,2000
OUT_00919,0
OUT_00920,0
OUT_00921,0
OUT_00922,0
OUT_00923,2000
OUT_00924,0
OUT_00925,0
OUT_00926,0
OUT_00927,0
OUT_00928,0
OUT_00929,0
OUT_00930,0
OUT_00931,0
OUT_00932,0
OUT_00933,2000
OUT_00934,2000
OUT_00935,0
OUT_00936,0
OUT_00937,2000
OUT_00938,0
OUT_00939,0
OUT_00940,0
OUT_00941,0
OUT_00942,0
OUT_00943,2000
OUT_00944,0
OUT_00945,0
OUT_00946,0
OUT_00947,0
OUT_00948,0
OUT_00949,0
OUT_00950,0
OUT_00951,0
OUT_00952,2000
OUT_00953,0
OUT_00954,2000
OUT_00955,0
OUT_00956,0
OUT_00957,0
OUT_00958,0
OUT_00959,0
OUT_00960,2000
OUT_00961,0
OUT_00962,0
OUT_00963,0
OUT_00964,0
OUT_00965,5000
OUT_00966,0
OUT_00967,0
OUT_00968,0
OUT_00969,0
OUT_00970,0
OUT_00971,0
OUT_00972,0
OUT_00973,2000
OUT_00974,0
OUT_00975,0
OUT_00976,0
OUT_00977,0
OUT_00978,0
OUT_00979,0
OUT_00980,0
OUT_00981,0
OUT_00982,0
OUT_00983,0
OUT_00984,0
OUT_00985,0
OUT_00986,2000
OUT_00987,0
OUT_00988,0
OUT_00989,0
OUT_00990,2000
OUT_00991,0
OUT_00992,0
OUT_00993,0
OUT_00994,2000
OUT_00995,2000
OUT_00996,5000
OUT_00997,0
OUT_00998,0
OUT_00999,0
OUT_01000,0
OUT_01001,0
OUT_01002,0
OUT_01003,0
OUT_01004,0
OUT_01005,0
OUT_01006,5000
OUT_01007,0
OUT_01008,0
OUT_01009,0
OUT_01010,0
OUT_01011,0
OUT_01012,0
OUT_01013,2000
OUT_01014,0
OUT_01015,0
OUT_01016,0
OUT_01017,0
OUT_01018,2000
OUT_01019,0
OUT_01020,0
OUT_01021,0
OUT_01022,0
OUT_01023,2000
OUT_01024,0
OUT_01025,0
OUT_01026,0
OUT_01027,0
OUT_01028,0
OUT_01029,0
OUT_01030,0
OUT_01031,0
OUT_01032,5000
OUT_01033,0
OUT_01034,0
OUT_01035,0
OUT_01036,2000
OUT_01037,0
OUT_01038,0
OUT_01039,0
OUT_01040,0
OUT_01041,0
OUT_01042,0
OUT_01043,0
OUT_01044,5000
OUT_01045,0
OUT_01046,0
OUT_01047,0
OUT_01048,0
OUT_01049,0
OUT_01050,0
OUT_01051,0
OUT_01052,0
OUT_01053,0
OUT_01054,0
OUT_01055,0
OUT_01056,0
OUT_01057,0
OUT_01058,0
OUT_01059,0
OUT_01060,0
OUT_01061,5000
OUT_01062,0
OUT_01063,2000
OUT_01064,0
OUT_01065,0
OUT_01066,0
OUT_01067,0
OUT_01068,0
OUT_01069,0
OUT_01070,0
OUT_01071,0
OUT_01072,0
OUT_01073,2000
OUT_01074,0
OUT_01075,0
OUT_01076,0
OUT_01077,0
OUT_01078,0
OUT_01079,2000
OUT_01080,0
OUT_01081,0
OUT_01082,0
OUT_01083,0
OUT_01084,0
OUT_01085,2000
OUT_01086,0
OUT_01087,0
OUT_01088,0
OUT_01089,0
OUT_01090,2000
OUT_01091,0
OUT_01092,2000
OUT_01093,0
OUT_01094,0
OUT_01095,0
OUT_01096,0
OUT_01097,0
OUT_01098,0
OUT_01099,2000
OUT_01100,2000
OUT_01101,0
OUT_01102,0
OUT_01103,0
OUT_01104,0
OUT_01105,2000
OUT_01106,0
OUT_01107,2000
OUT_01108,5000
OUT_01109,0
OUT_01110,0
OUT_01111,0
OUT_01112,0
OUT_01113,0
OUT_01114,0
OUT_01115,0
OUT_01116,0
OUT_01117,0
OUT_01118,0
OUT_01119,0
OUT_01120,0
OUT_01121,0
OUT_01122,2000
OUT_01123,0
OUT_01124,5000
OUT_01125,0
OUT_01126,0
OUT_01127,0
OUT_01128,0
OUT_01129,0
OUT_01130,2000
OUT_01131,0
OUT_01132,0
OUT_01133,2000
OUT_01134,0
OUT_01135,2000
OUT_01136,0
OUT_01137,0
OUT_01138,0
OUT_01140,0
OUT_01141,0
OUT_01142,2000
OUT_01143,0
OUT_01144,0
OUT_01145,0
OUT_01146,5000
OUT_01147,0
OUT_01148,0
OUT_01149,0
OUT_01150,0
OUT_01151,0
OUT_01152,5000
OUT_01153,2000
OUT_01154,0
OUT_01155,0
OUT_01156,0
OUT_01157,0
OUT_01158,0
OUT_01159,0
OUT_01160,0
OUT_01161,0
OUT_01162,0
OUT_01163,0
OUT_01164,2000
OUT_01165,0
OUT_01166,0
OUT_01167,0
OUT_01168,0
OUT_01169,0
OUT_01171,0
OUT_01172,0
OUT_01173,0
OUT_01174,0
OUT_01175,2000
OUT_01176,0
OUT_01177,0
OUT_01178,2000
OUT_01179,0
OUT_01180,0
OUT_01181,0
OUT_01182,0
OUT_01183,0
OUT_01184,0
OUT_01185,0
OUT_01186,0
OUT_01187,0
OUT_01188,0
OUT_01189,0
OUT_01190,0
OUT_01191,0
OUT_01192,0
OUT_01193,0
OUT_01194,0
OUT_01195,0
OUT_01196,0
OUT_01197,2000
OUT_01198,0
OUT_01199,0
OUT_01200,0
OUT_01201,2000
OUT_01202,0
OUT_01203,0
OUT_01204,0
OUT_01205,0
OUT_01206,0
OUT_01207,5000
OUT_01208,0
OUT_01210,0
OUT_01211,0
OUT_01212,2000
OUT_01213,0
OUT_01214,2000
OUT_01215,2000
OUT_01217,2000
OUT_01218,0
OUT_01219,0
OUT_01220,2000
OUT_01221,2000
OUT_01222,0
OUT_01223,0
OUT_01224,0
OUT_01225,0
OUT_01226,0
OUT_01227,0
OUT_01228,0
OUT_01229,0
OUT_01230,0
OUT_01231,0
OUT_01232,0
OUT_01233,0
OUT_01234,0
OUT_01235,0
OUT_01236,2000
OUT_01237,0
OUT_01238,0
OUT_01239,2000
OUT_01240,0
OUT_01241,5000
OUT_01242,0
OUT_01243,0
OUT_01244,0
OUT_01245,0
OUT_01246,0
OUT_01247,0
OUT_01248,0
OUT_01249,0
OUT_01250,0
OUT_01251,0
OUT_01252,0
OUT_01253,2000
OUT_01254,0
OUT_01255,0
OUT_01256,0
OUT_01257,0
OUT_01258,0
OUT_01259,0
OUT_01260,0
OUT_01261,0
OUT_01262,2000
OUT_01263,2000
OUT_01264,0
OUT_01265,0
OUT_01266,0
OUT_01267,2000
OUT_01268,0
OUT_01269,0
OUT_01270,2000
OUT_01271,0
OUT_01272,0
OUT_01273,2000
OUT_01274,0
OUT_01275,0
OUT_01276,0
OUT_01277,0
OUT_01278,0
OUT_01279,0
OUT_01280,0
OUT_01281,0
OUT_01282,0
OUT_01283,0
OUT_01284,0
OUT_01285,0
OUT_01286,0
OUT_01287,2000
OUT_01288,0
OUT_01289,0
OUT_01290,0
OUT_01291,2000
OUT_01292,2000
OUT_01293,0
OUT_01294,0
OUT_01295,0
OUT_01296,0
OUT_01297,0
OUT_01298,0
OUT_01299,2000
OUT_01300,0
OUT_01301,0
OUT_01302,0
OUT_01303,0
OUT_01304,2000
OUT_01305,0
OUT_01306,0
OUT_01307,0
OUT_01308,0
OUT_01309,2000
OUT_01310,0
OUT_01311,0
OUT_01312,0
OUT_01313,0
OUT_01314,0
OUT_01315,0
OUT_01316,5000
OUT_01317,0
OUT_01318,0
OUT_01319,0
OUT_01320,0
OUT_01321,0
OUT_01322,0
OUT_01323,0
OUT_01324,0
OUT_01325,0
OUT_01326,0
OUT_01327,0
OUT_01328,0
OUT_01329,0
OUT_01330,0
OUT_01331,2000
OUT_01332,0
OUT_01333,0
OUT_01334,0
OUT_01335,0
OUT_01336,0
OUT_01337,0
OUT_01338,2000
OUT_01339,0
OUT_01340,0
OUT_01341,0
OUT_01342,0
OUT_01343,0
OUT_01344,0
OUT_01345,0
OUT_01346,0
OUT_01347,0
OUT_01348,0
OUT_01349,0
OUT_01350,0
OUT_01351,0
OUT_01352,2000
OUT_01353,0
OUT_01355,2000
OUT_01356,0
OUT_01357,0
OUT_01358,0
OUT_01359,0
OUT_01360,0
OUT_01361,0
OUT_01362,5000
OUT_01363,0
OUT_01364,0
OUT_01365,0
OUT_01366,0
OUT_01367,0
OUT_01368,0
OUT_01369,2000
OUT_01370,0
OUT_01371,0
OUT_01372,0
OUT_01373,0
OUT_01374,0
OUT_01375,2000
OUT_01376,2000
OUT_01377,0
OUT_01378,0
OUT_01379,0
OUT_01380,0
OUT_01381,0
OUT_01382,2000
OUT_01383,0
OUT_01384,0
OUT_01385,0
OUT_01386,0
OUT_01387,0
OUT_01388,0
OUT_01389,2000
