Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type
OUT_00001,Medium,1.0,Grocery
OUT_00002,small,0.0,Hotel
OUT_00003,small,1.0,Pharmacy
OUT_00004,Medium,2.0,Pharmacy
OUT_00005,Medium,2.0,Kiosk
OUT_00006,Medium,1.0,Kiosk
OUT_00007,Large,4.0,Hotel
OUT_00008,Extra Large,3.0,Eatery
OUT_00009,Medium,2.0,Hotel
OUT_00010,small,0.0,Eatery
OUT_00011,small,1.0,Grocery
OUT_00012,Medium,1.0,Pharmacy
OUT_00013,small,0.0,Hotel
OUT_00014,small,1.0,Grocery
OUT_00015,small,0.0,Bakery
OUT_00016,Medium,1.0,Eatery
OUT_00017,Large,5.0,Eatery
OUT_00018,small,1.0,Pharmacy
OUT_00019,Extra Large,4.0,Grocery
OUT_00020,small,0.0,SMMT
OUT_00021,small,0.0,Kiosk
OUT_00022,small,0.0,Bakery
OUT_00023,small,0.0,Eatery
OUT_00024,Large,5.0,Eatery
OUT_00026,Medium,1.0,Grocery
OUT_00027,small,1.0,Pharmacy
OUT_00028,small,0.0,Grocery
OUT_00029,small,3.0,SMMT
OUT_00030,Extra Large,4.0,Grocery
OUT_00031,small,1.0,Bakery
OUT_00032,Extra Large,5.0,SMMT
OUT_00033,small,1.0,Hotel
OUT_00034,Large,5.0,Grocery
OUT_00035,Large,5.0,Bakery
OUT_00036,small,0.0,Kiosk
OUT_00037,Large,2.0,Bakery
OUT_00038,Medium,2.0,Bakery
OUT_00039,Medium,1.0,Eatery
OUT_00040,Large,4.0,SMMT
OUT_00041,Large,3.0,Grocery
OUT_00042,Medium,2.0,Bakery
OUT_00043,small,0.0,Eatery
OUT_00044,small,1.0,Grocery
OUT_00045,Medium,2.0,Grocery
OUT_00046,small,0.0,Pharmacy
OUT_00047,small,0.0,Grocery
OUT_00048,small,0.0,Kiosk
OUT_00049,small,3.0,Hotel
OUT_00050,Extra Large,2.0,Grocery
OUT_00051,small,0.0,SMMT
OUT_00052,Medium,1.0,Pharmacy
OUT_00053,small,2.0,SMMT
OUT_00054,small,1.0,Grocery
OUT_00055,small,0.0,Eatery
OUT_00056,small,0.0,Kiosk
OUT_00057,Large,4.0,SMMT
OUT_00058,Medium,1.0,Grocery
OUT_00059,Medium,2.0,Grocery
OUT_00060,Medium,1.0,Grocery
OUT_00061,small,1.0,Kiosk
OUT_00062,Extra Large,3.0,Pharmacy
OUT_00063,small,0.0,Hotel
OUT_00064,Medium,1.0,Grocery
OUT_00065,small,0.0,Grocery
OUT_00066,Medium,1.0,Hotel
OUT_00067,small,1.0,Grocery
OUT_00068,small,1.0,Kiosk
OUT_00069,small,0.0,Grocery
OUT_00070,Medium,1.0,Kiosk
